"","X","CH4_Area","Sample_Volume","Notes","CH4_Conc_ppm","CH4_Flag","CH4_Conc_ppm_dilcorr","CH4_Conc_umol","Project","Plot_Name","Depth","CO2_Treatment","N_Treatment","Sample_Name","Month","Year","Treatment"
"30",10,637943,12,NA,804.225370438159,"Within Range",805.225370438159,33.1676241644215,"CO2xN","L10",80,"Amb","N","L10-80","May",2025,"N"
"31",11,100426,12,NA,170.374257721828,"Within Range",171.374257721828,7.05898892440675,"CO2xN","L11",20,"Amb","N","L11-20","May",2025,"N"
"32",12,237443,12,NA,394.369474912412,"Within Range",395.369474912412,16.2854607311291,"CO2xN","L11",40,"Amb","N","L11-40","May",2025,"N"
"33",13,209943,12,NA,349.412509917258,"Within Range",350.412509917258,14.4336615041364,"CO2xN","L11",80,"Amb","N","L11-80","May",2025,"N"
"34",14,508181,12,NA,836.971612689071,"Within Range",837.97161268907,34.5164577899496,"CO2xN","L12",20,"Elev","N","L12-20","May",2025,"eCO2_N"
"35",15,653696,12,NA,831.531711751414,"Within Range",832.531711751414,34.2923856277751,"CO2xN","L12",40,"Elev","N","L12-40","May",2025,"eCO2_N"
"36",16,484446,12,NA,798.169664901435,"Within Range",799.169664901434,32.9181867116706,"CO2xN","L12",80,"Elev","N","L12-80","May",2025,"eCO2_N"
"37",1,515401,12,NA,871.479313045253,"Within Range",872.479313045253,35.9378467305012,"CO2xN","L13",20,"Elev","Amb","L13-20","May",2025,"eCO2"
"38",2,470990,12,NA,796.246440528874,"Within Range",797.246440528874,32.838968165516,"CO2xN","L13",40,"Elev","Amb","L13-40","May",2025,"eCO2"
"39",3,284364,12,NA,480.099313325212,"Within Range",481.099313325212,19.8167144205218,"CO2xN","L13",80,"Elev","Amb","L13-80","May",2025,"eCO2"
"40",4,483042,12,NA,816.662701805751,"Within Range",817.662701805751,33.6799238851621,"CO2xN","L14",20,"Amb","N","L14-20","May",2025,"N"
"41",5,634919,12,NA,1259.77756579152,"Within Range",1260.77756579152,51.9320403856039,"CO2xN","L14",40,"Amb","N","L14-40","May",2025,"N"
"42",6,556111,12,NA,940.442638350736,"Within Range",941.442638350736,38.7784796002981,"CO2xN","L14",80,"Amb","N","L14-80","May",2025,"N"
"43",7,1407222,12,NA,2567.13170332265,"Within Range",2568.13170332265,105.782592386765,"CO2xN","L15",20,"Elev","N","L15-20","May",2025,"eCO2_N"
"44",8,1376310,12,NA,2514.80388496721,"Within Range",2515.80388496721,103.627184129306,"CO2xN","L15",40,"Elev","N","L15-40","May",2025,"eCO2_N"
"45",9,875762,12,NA,1667.47647741741,"Within Range",1668.47647741741,68.7253566042584,"CO2xN","L15",80,"Elev","N","L15-80","May",2025,"eCO2_N"
"46",10,584323,12,NA,988.234171967005,"Within Range",989.234171967005,40.7470360857491,"CO2xN","L16",20,"Amb","Amb","L16-20","May",2025,"Ambient"
"47",11,375728,12,NA,634.871242905417,"Within Range",635.871242905417,26.1918453838262,"CO2xN","L16",40,"Amb","Amb","L16-40","May",2025,"Ambient"
"48",12,665911,12,NA,1312.24080810751,"Within Range",1313.24080810751,54.0930268217824,"CO2xN","L16",80,"Amb","Amb","L16-80","May",2025,"Ambient"
"49",13,248374,12,NA,419.131735881234,"Within Range",420.131735881235,17.3054302892521,"CO2xN","L17",20,"Amb","Amb","L17-20","May",2025,"Ambient"
"50",14,294822,12,NA,497.815315684454,"Within Range",498.815315684454,20.5464451636399,"CO2xN","L17",40,"Amb","Amb","L17-40","May",2025,"Ambient"
"51",15,537580,12,NA,909.050857922441,"Within Range",910.050857922441,37.4854369152034,"CO2xN","L17",80,"Amb","Amb","L17-80","May",2025,"Ambient"
"52",16,307320,12,NA,518.987107373669,"Within Range",519.987107373669,21.4185215479858,"CO2xN","L18",20,"Elev","N","L18-20","May",2025,"eCO2_N"
"53",17,592076,12,NA,1001.36786543528,"Within Range",1002.36786543528,41.28801929969,"CO2xN","L18",40,"Elev","N","L18-40","May",2025,"eCO2_N"
"54",18,394809,12,NA,667.194731241303,"Within Range",668.194731241303,27.5232655702324,"CO2xN","L18",80,"Elev","N","L18-80","May",2025,"eCO2_N"
"55",19,902983,12,NA,1713.5561727931,"Within Range",1714.5561727931,70.6234016410168,"CO2xN","L19",20,"Elev","Amb","L19-20","May",2025,"eCO2"
"56",20,652747,12,NA,1289.95679539946,"Within Range",1290.95679539946,53.1751375133849,"CO2xN","L19",40,"Elev","Amb","L19-40","May",2025,"eCO2"
"57",1,928215,12,NA,1504.14392698092,"Within Range",1505.14392698092,61.9976095093724,"CO2xN","L19",80,"Elev","Amb","L19-80","May",2025,"eCO2"
"58",2,549731,12,NA,895.506093092686,"Within Range",896.506093092686,36.927521472196,"CO2xN","L20",20,"Amb","N","L20-20","May",2025,"N"
"59",3,427298,12,NA,696.58920641457,"Within Range",697.58920641457,28.7340382816372,"CO2xN","L20",40,"Amb","N","L20-40","May",2025,"N"
"60",4,556440,12,NA,906.406204931189,"Within Range",907.406204931189,37.3765023737949,"CO2xN","L20",80,"Amb","N","L20-80","May",2025,"N"
